_id,Neighborhood,Sector #,Population (2010),Land Area (acres),Residential,Mixed Use / Commercial,Mixed Use / Industrial,Institutional / Edu. / Med.,Open Space,Hillside,Special Land Use
22,Chateau,3,11,245.1200000000000045474735088646411895751953125,0.0002583696296069999914606085678059343990753404796123504638671875,0.1502280998006249868037542682941420935094356536865234375,0.577119908092416977751781814731657505035400390625,0.0000006217122090000000455591033787783317166031338274478912353515625,0,0,0.272393000765142001551311068396898917853832244873046875
23,Crafton Heights,4,3814,482.56000000000000227373675443232059478759765625,0.7414970279464470070962534009595401585102081298828125,0.0125559108856900004946854920717669301666319370269775390625,0.0230181829102369985007303654356292099691927433013916015625,0,0.22285391832598600014847534112050198018550872802734375,0.000074959931638999993696627355266315362314344383776187896728515625,0
24,Crawford-Roberts,15,2256,165.1200000000000045474735088646411895751953125,0.73369156318486095091913057331112213432788848876953125,0.12471008954506999921729715197216137312352657318115234375,0,0,0.06133776058482799664606233136510127224028110504150390625,0.002566805261106999865028388541077219997532665729522705078125,0.0776937814241349944399672722283867187798023223876953125
25,Duquesne Heights,6,2425,398.720000000000027284841053187847137451171875,0.36063987164014299491299198052729479968547821044921875,0.0136691403921679992261584146717723342590034008026123046875,0.036154842883595002256402750617780839093029499053955078125,0,0.5465038699744380057410353401792235672473907470703125,0.000696675283990999994095105751767960100551135838031768798828125,0.042335599825665003181907053431132226251065731048583984375
26,East Allegheny,3,2136,151.039999999999992041921359486877918243408203125,0.483776337910919007612164932652376592159271240234375,0.1333744437307430030781318919252953492105007171630859375,0.042426229432107998018608441270771436393260955810546875,0.000001084408635000000031950429489613352274091084836982190608978271484375,0.2798484536288590174279988787020556628704071044921875,0.060567204417151000728214427226703264750540256500244140625,0.0000062464715860000003029724700842617579610305256210267543792724609375
27,East Carnegie,4,570,276.48000000000001818989403545856475830078125,0.35981945383749802669370865260134451091289520263671875,0.004277990286620000047468348469692500657401978969573974609375,0.261899853759465006675100084976293146610260009765625,0,0.374002702116417007349724599407636560499668121337890625,0,0
28,East Hills,11,3169,346.240000000000009094947017729282379150390625,0.89665729312299602415947674671770073473453521728515625,0.0230908474293060016202527862105853273533284664154052734375,0.05612874738631599969007623940342455171048641204833984375,0,0.02412311206138099961560072870270232670009136199951171875,0,0
29,East Liberty,12,5869,371.83999999999997498889570124447345733642578125,0.6127909268989959468143524645711295306682586669921875,0.263779496553244008349992100193048827350139617919921875,0.0299614084963699990604713008224280201829969882965087890625,0.0447865142870779997519292692231829278171062469482421875,0.004309388850070999636698854118321833084337413311004638671875,0.0160616654931669995687304464127009850926697254180908203125,0.028310599421073001646931288632913492619991302490234375
30,Elliott,4,2381,387.83999999999997498889570124447345733642578125,0.38298351045125100799992878819466568529605865478515625,0.0281080454396390004567773956978271598927676677703857421875,0.01842896093194799911341164033729000948369503021240234375,0,0.1520749246285729994188073987970710732042789459228515625,0.418404558548588989541627825019531883299350738525390625,0
31,Esplen,4,301,147.19999999999998863131622783839702606201171875,0.1587181701605739903016001335345208644866943359375,0,0.8036539027985669658704637186019681394100189208984375,0,0.0375354351052629986451592003504629246890544891357421875,0.00009249193559599999865140917965078415363677777349948883056640625,0
32,Fairywood,4,1002,620.1599999999999681676854379475116729736328125,0.201570288043817991141537504518055357038974761962890625,0.041693255990733001092873877269084914587438106536865234375,0.59116803841558696053226640287903137505054473876953125,0,0.165568417549862012538852695797686465084552764892578125,0,0
33,Fineview,3,1285,160,0.46447117472779997360277093321201391518115997314453125,0.0431985518748169983194173937590676359832286834716796875,0,0,0.0279199797770080006265036587365102604962885379791259765625,0.46441029362037500316517935061710886657238006591796875,0
34,Friendship,12,1785,67.840000000000003410605131648480892181396484375,0.787591686113235045496594466385431587696075439453125,0.204134745273788997810271439448115415871143341064453125,0,0,0.00824164910561699971813798271114137605763971805572509765625,0,0.0000319195073589999974935683957344423333779559470713138580322265625
35,Garfield,12,3675,292.48000000000001818989403545856475830078125,0.88416499157717798329514380384352989494800567626953125,0.06557340101551699385051819035652442835271358489990234375,0,0.00003669454571500000155011289582063227499020285904407501220703125,0.0002585626438609999930805238843589677344425581395626068115234375,0.049966350217728001947836702356653404422104358673095703125,0
36,Glen Hazel,9,716,291.83999999999997498889570124447345733642578125,0.19197560471981400809227125137113034725189208984375,0,0.11274689719440400548222669385722838342189788818359375,0,0.67241301969209799072046962464810349047183990478515625,0.000000012192081000000000262232095521626462630848664048244245350360870361328125,0.0228644662016040008112316428423582692630589008331298828125
37,Greenfield,9,7294,494.720000000000027284841053187847137451171875,0.7544479450878209814135288979741744697093963623046875,0.049459145788368998053474712151000858284533023834228515625,0.0216750192931829989417824577913052053190767765045166015625,0,0.019796466392320001548288388448781915940344333648681640625,0.1546214234383070096345846877738949842751026153564453125,0
38,Hays,8,362,1120,0.1350885727928450019685868710439535789191722869873046875,0,0.094480964843554005039294452217291109263896942138671875,0,0.409718404155571980229666451123193837702274322509765625,0,0.36071205820802898500687660998664796352386474609375
39,Hazelwood,9,4317,1013.1200000000000045474735088646411895751953125,0.28293622433552101380627163962344639003276824951171875,0.0136586049367999999570866265230506542138755321502685546875,0.347671384782175019179106811861856840550899505615234375,0,0.197970074195077005985154983136453665792942047119140625,0.1577636029047259913493661542815971188247203826904296875,0.000000108845700999999994725941747375497214989081840030848979949951171875
40,Highland Park,12,6395,744.3200000000000500222085975110530853271484375,0.44134188953302200264516841343720443546772003173828125,0.009150962008289000026994841618943610228598117828369140625,0.000027984532851999999636567750815885347037692554295063018798828125,0.0000232700874049999984448378054224804145633243024349212646484375,0.54903100652500302913949781213887035846710205078125,0.0004248873134290000251438168543671736188116483390331268310546875,0
41,Homewood North,11,3280,277.759999999999990905052982270717620849609375,0.8990383353731490334581621937104500830173492431640625,0.032679771046988000116062522693027858622372150421142578125,0.00014435577652699999192352497967561930636293254792690277099609375,0,0.0681375378033360068474877380140242166817188262939453125,0,0
42,Homewood South,11,2344,254.719999999999998863131622783839702606201171875,0.69173900394094001153888484623166732490062713623046875,0.1420890282461259868096448144569876603782176971435546875,0.134156486573849986765338826444349251687526702880859375,0,0.03201548123908400100834370505253900773823261260986328125,0,0
43,Homewood West,11,818,127.3599999999999994315658113919198513031005859375,0.522357489223316040494182743714191019535064697265625,0.06537989444863100130245214813839993439614772796630859375,0.34913345179155397257630966123542748391628265380859375,0,0.0631291645364989995048432547264383174479007720947265625,0,0
44,Knoxville,6,3747,193.280000000000001136868377216160297393798828125,0.9404529416107709760552779698628000915050506591796875,0.05892379840623999942561539455709862522780895233154296875,0,0,0.00061762378934500004011576290707807856961153447628021240234375,0,0
45,Larimer,12,1728,284.80000000000001136868377216160297393798828125,0.44532375640375698733208764679147861897945404052734375,0.08097514207875000646907892587478272616863250732421875,0.336065012599901014045400415852782316505908966064453125,0.0275430976845700004052019949085661210119724273681640625,0.00603063369647200038514700537461976637132465839385986328125,0.1040623575365499930978074871745775453746318817138671875,0
46,Lincoln Place,8,3227,629.759999999999990905052982270717620849609375,0.80118718525802801178059553421917371451854705810546875,0.01729378582257599938909464754033251665532588958740234375,0,0,0.1815190289193960027080976260549505241215229034423828125,0,0
47,Lincoln-Lemington-Belmar,11,4883,1159.680000000000063664629124104976654052734375,0.32262369362194698307888529598130844533443450927734375,0.06422347565473200681207543993878061883151531219482421875,0.015713067263592998823451551970720174722373485565185546875,0.1735647867745269967709731417926377616822719573974609375,0.4238749766852010214535084742237813770771026611328125,0,0
48,Lower Lawrenceville,13,2341,275.19999999999998863131622783839702606201171875,0.237313697165268011612937470999895595014095306396484375,0.10885547857563999951668876065014046616852283477783203125,0.54600790054780201643325199256651103496551513671875,0,0.05000178551139999871821828492102213203907012939453125,0.05782113819989000147447910649134428240358829498291015625,0
49,Manchester,3,2130,178.56000000000000227373675443232059478759765625,0.74828671243796396339575949241407215595245361328125,0.0000377898896210000017031709063086708511036704294383525848388671875,0.2088117979721129946479862837804830633103847503662109375,0,0.04286369970030200204913484185453853569924831390380859375,0,0
50,Marshall-Shadeland,2,6043,802.6000000000000227373675443232059478759765625,0.32465171865774100634638443807489238679409027099609375,0.0311116234945599985650677155035737087018787860870361328125,0.441336291010238024323797390024992637336254119873046875,0.0000357658752889999988233173111584761727499426342546939849853515625,0.2025668392144270024690655418453388847410678863525390625,0.0002977617477449999894463517069453928343136794865131378173828125,0
51,Middle Hill,15,1707,195.19999999999998863131622783839702606201171875,0.79531438750294303208221435852465219795703887939453125,0.2041249645862449890731937784948968328535556793212890625,0,0.000544504187288000012466537835820190593949519097805023193359375,0.00001614372352400000117274292410485259097185917198657989501953125,0,0
52,Morningside,12,3346,244.479999999999989768184605054557323455810546875,0.60681046402657601301910972324549220502376556396484375,0.036577951530979001260046601373687735758721828460693359375,0.1435594786301379877091477510475669987499713897705078125,0,0.1143532127151629940176036370758083648979663848876953125,0.0986988930971439970551983833502163179218769073486328125,0
53,Mount Washington,6,8799,729.6000000000000227373675443232059478759765625,0.5589049034275690441830874988227151334285736083984375,0.039326164633768999345786454568951739929616451263427734375,0.05442565632508600259598097181878983974456787109375,0,0.3077936776688690034831097364076413214206695556640625,0.00021747779604500001014201482352206085124635137617588043212890625,0.039332120148662996772515043630846776068210601806640625
54,Mt. Oliver,7,509,64,0.86969588150650400937280437574372626841068267822265625,0,0,0,0.00000753808884900000040108110355152604142858763225376605987548828125,0.1302923364036920050867962572738179005682468414306640625,0
55,New Homestead,8,990,508.16000000000002501110429875552654266357421875,0.66954112189772396757092565167113207280635833740234375,0,0.0028219949977480000835594609043255331926047801971435546875,0,0.3276368831045279872427045120275579392910003662109375,0,0
56,North Oakland,14,10551,319.3600000000000136424205265939235687255859375,0.344094250693827985454475992810330353677272796630859375,0.000012700504459999999441982380943283459373560617677867412567138671875,0.06098180498880199917888234040219685994088649749755859375,0.424130736596211976863202153253951109945774078369140625,0.0143725526561960005589302369344295584596693515777587890625,0.0805572495873490002082917271764017641544342041015625,0.075850704973152993648710662455414421856403350830078125
57,North Shore,16,303,193.919999999999987494447850622236728668212890625,0.000284016911484999997998535103960193737293593585491180419921875,0.0026055953707610000728844834583242118242196738719940185546875,0.00053932292578600000976241091166230035014450550079345703125,0.000113568910317999997340587814420587164931930601596832275390625,0.00029561324821299997563095462993487672065384685993194580078125,0,0.99616188263343696807083915700786747038364410400390625
58,Northview Heights,1,1214,200.31999999999999317878973670303821563720703125,0.5314033372988420378391083431779406964778900146484375,0.00986763212655300016307169386209352524019777774810791015625,0.03298774799912600197426826298396917991340160369873046875,0,0.4250295374000689907489913821336813271045684814453125,0.0007117451754089999978181158013512686011381447315216064453125,0
59,Oakwood,4,1027,161.280000000000001136868377216160297393798828125,0.63239097648715703048338809821871109306812286376953125,0.1672691063906459885135546983292442746460437774658203125,0,0,0.20033991712219700875863281908095814287662506103515625,0,0
60,Overbrook,5,3644,536.9600000000000363797880709171295166015625,0.6588741085230760408109063064330257475376129150390625,0.1703603176334859969909274468591320328414440155029296875,0.0186160503249710000683858623915511998347938060760498046875,0,0.1268970142486569863127243706912850029766559600830078125,0.02525250926981099930390683994119171984493732452392578125,0
61,Perry North,2,4050,775.6799999999999499777914024889469146728515625,0.3838962258026670237853750222711823880672454833984375,0.010402308342421000275646036925536463968455791473388671875,0.0000001042158770000000020912860076473249737460946562350727617740631103515625,0,0.449310607282768004200335099085350520908832550048828125,0.1563907543562670088288513170482474379241466522216796875,0
62,Perry South,2,4145,579.200000000000045474735088646411895751953125,0.37738925212384699658940689914743416011333465576171875,0.01460901664474299928297984507707951706834137439727783203125,0.01234326854101800048646442320432470296509563922882080078125,0.0420274580823589982703225587101769633591175079345703125,0.1694010639492510017500848107374622486531734466552734375,0.3842299406587830201686983855324797332286834716796875,0
63,Point Breeze,10,5315,642.55999999999994543031789362430572509765625,0.60533230259756798385950560259516350924968719482421875,0.00835081165959299966117246327712564379908144474029541015625,0,0,0.386316885742839011275151506197289563715457916259765625,0,0
64,Point Breeze North,11,2054,183.039999999999992041921359486877918243408203125,0.6004254699291260433113848193897865712642669677734375,0.03622683190219400106713010245584882795810699462890625,0.299095872752490998802699095904245041310787200927734375,0,0.06425182541618799925142724305260344408452510833740234375,0,0
65,Polish Hill,13,1274,163.19999999999998863131622783839702606201171875,0.263699999783321981094985630988958291709423065185546875,0.10335379072460600113902984276137431152164936065673828125,0.2802688090900999906551760432193987071514129638671875,0,0.1622213483820680035574213206928106956183910369873046875,0.19045605201990400967559935452300123870372772216796875,0
66,Regent Square,10,928,122.8799999999999954525264911353588104248046875,0.45122153927124097894107990214251913130283355712890625,0.003768023921180000020136890981348187779076397418975830078125,0,0,0.54501043680757899068112237728200852870941162109375,0,0
67,Ridgemont,4,483,236.159999999999996589394868351519107818603515625,0.46248310258532099314976449022651650011539459228515625,0,0.00012268368434299999699017835741443605002132244408130645751953125,0,0.370303656540895975712857079997775144875049591064453125,0.000000892348987999999948678131987678252556861480115912854671478271484375,0.167089664840452012395388692311826162040233612060546875
68,Shadyside,12,13915,589.44000000000005456968210637569427490234375,0.82070166092375895772192961885593831539154052734375,0.11253593936442800316211076960826176218688488006591796875,0.0000059978056269999997522006200678656995251003536395728588104248046875,0.0301980661755649991417893573952824226580560207366943359375,0.028928632066407999889889879341353662312030792236328125,0,0.00762970366421399960599192269228296936489641666412353515625
69,Sheraden,4,5299,569.6000000000000227373675443232059478759765625,0.406431683292412027075357627836638130247592926025390625,0.04854944606696200148920894434922956861555576324462890625,0.0741473387114039983458724236697889864444732666015625,0,0.1390648474586460014990052513894625008106231689453125,0.331806684470576984669065723210223950445652008056640625,0
70,South Oakland,14,2969,325.1200000000000045474735088646411895751953125,0.264340536934430991866662452594027854502201080322265625,0.00012749645148899999523572912352165076299570500850677490234375,0.06768685429718600266024708389522857032716274261474609375,0.052925741130037999571111839713921654038131237030029296875,0.0629000271157769963448203043299145065248012542724609375,0.285037186035387024585219251093803904950618743896484375,0.266982158035691974351522048891638405621051788330078125
71,South Shore,16,19,135.68000000000000682121026329696178436279296875,0,0.017372668630240999110281308048797654919326305389404296875,0.407531166115561005458545196233899332582950592041015625,0,0.088031016844411003052783826205995865166187286376953125,0.00009467787692699999760152784755717902953620068728923797607421875,0.48697047053286002249450348244863562285900115966796875
72,South Side Flats,7,6597,599.0399999999999636202119290828704833984375,0.2461112847815569992793172104939003475010395050048828125,0.12381675607582100229198118768181302584707736968994140625,0.363023655563420977188116012257523834705352783203125,0.00878955305598200058170288428982530604116618633270263671875,0.0478287227382259982899626038488349877297878265380859375,0.0027438754170680001477633513928822139860130846500396728515625,0.2076861523679250087770498112149653024971485137939453125
73,South Side Slopes,7,4423,458.240000000000009094947017729282379150390625,0.35135149058795100973640046504442580044269561767578125,0.012589838852309000183371523462483310140669345855712890625,0.07157900974369700575206110215731314383447170257568359375,0,0.2066267798642940078934771008789539337158203125,0.357852458017241026322352581701125018298625946044921875,0
74,Spring Garden,1,884,176,0.373419111895362976216716788258054293692111968994140625,0.0212237521571520017238388078339994535781443119049072265625,0.1194515465483770022547815869984333403408527374267578125,0,0.0288310922510480009683941915454852278344333171844482421875,0.457074497148059977202905201920657418668270111083984375,0
75,Spring Hill-City View,1,2648,403.19999999999998863131622783839702606201171875,0.40737966249557000519843086294713430106639862060546875,0.0167053271853210005826184669786016456782817840576171875,0.0000016018198119999999329342126042075022951394203118979930877685546875,0,0.07849282408187900628160349469908396713435649871826171875,0.497420584417417988021270502940751612186431884765625,0
76,Squirrel Hill North,10,11363,782.0800000000000409272615797817707061767578125,0.791149784941949985039855164359323680400848388671875,0.0072340452554490002057274722346846829168498516082763671875,0,0.1443842090799229982422957618837244808673858642578125,0.05723174548142599682432063445958192460238933563232421875,0,0.0000002152412509999999987883004433364408924944655154831707477569580078125
77,Squirrel Hill South,10,15110,1709.44000000000005456968210637569427490234375,0.50161320491806205001950047517311759293079376220703125,0.0208313694714530005247521415867595351301133632659912109375,0.01130732484449999998565861147881150827743113040924072265625,0.00022622693100100000587922288719511243471060879528522491455078125,0.466012495774801027703659883627551607787609100341796875,0.00000937806018399999961020208072426385115250013768672943115234375,0
78,St. Clair,7,209,198.400000000000005684341886080801486968994140625,0.3950615962295940253312664935947395861148834228515625,0.0163196334462579993596076377571080229245126247406005859375,0.0017334367222460000772243926547844239394180476665496826171875,0,0.5868853336019019817371145109063945710659027099609375,0,0
79,Stanton Heights,13,4601,470.3999999999999772626324556767940521240234375,0.7459003522922860174304560132441110908985137939453125,0.01443949210256799918494774459531981847248971462249755859375,0.03467108491725100216651611617635353468358516693115234375,0,0.198924468542517995928164964425377547740936279296875,0.00606460214537599996698080673240838223136961460113525390625,0
80,Strip District,13,616,389.1200000000000045474735088646411895751953125,0,0,0.7118447237190339560441998401074670255184173583984375,0,0.00165252809414400000063982698605968835181556642055511474609375,0.10722473646487100384927515506205963902175426483154296875,0.1792780117219499869118948254254064522683620452880859375
81,Summer Hill,1,1051,280.95999999999997953636921010911464691162109375,0.50785235642967396785252276458777487277984619140625,0.09295269045718100586750409775049774907529354095458984375,0,0,0.0000403897067860000021088939803348694113083183765411376953125,0.39915456340635901977265120876836590468883514404296875,0
82,Swisshelm Park,10,1361,307.19999999999998863131622783839702606201171875,0.64695009113557200297606186722987331449985504150390625,0,0.06866540867860200514360968782057170756161212921142578125,0,0.284384500185826005758116252764011733233928680419921875,0,0
83,Terrace Village,15,3228,218.8799999999999954525264911353588104248046875,0.60952374688531396618174085233476944267749786376953125,0.00024053995477300000953822800564552153446129523217678070068359375,0,0.242258209996623008475324922983418218791484832763671875,0.1469315639135329865094803380998200736939907073974609375,0.00104593924975799994203651266388988005928695201873779296875,0
84,Troy Hill,1,2714,294.3999999999999772626324556767940521240234375,0.2925334829775450007360859672189690172672271728515625,0.035956882202280000815353133702956256456673145294189453125,0.1821535792449399948633725898616830818355083465576171875,0,0.10691613427414299597462132851433125324547290802001953125,0.116273106053979002894038785598240792751312255859375,0.266166815247111998576912128555704839527606964111328125
85,Upper Hill,15,2057,200.31999999999999317878973670303821563720703125,0.7635183390197599617721380127477459609508514404296875,0.031337769523486998235473066642953199334442615509033203125,0.01861361789667100030687407752338913269340991973876953125,0.0002041193644249999984870147518023486554739065468311309814453125,0.184528199689230010260843073410796932876110076904296875,0.00179795450642599992201187131257711371290497481822967529296875,0
86,Upper Lawrenceville,13,2669,259.19999999999998863131622783839702606201171875,0.24379580546752699365953276355867274105548858642578125,0.0910720967883719978441803277746657840907573699951171875,0.530329667188699005464513902552425861358642578125,0,0.01220841853347500068072140066988140461035072803497314453125,0.12259401202192800328649724406204768456518650054931640625,0
87,West End,4,254,128,0.00827974874251399990676691942326215212233364582061767578125,0.291824901861884977716243838585796765983104705810546875,0.16297920123109899126490063281380571424961090087890625,0,0.0823264963927539950017120418124250136315822601318359375,0.454589651771747982333948812083690427243709564208984375,0
88,West Oakland,14,2604,137.599999999999994315658113919198513031005859375,0.25473740125191302041685048607178032398223876953125,0.03943110329886499731966154058682150207459926605224609375,0,0.42055401300954298182688262386363931000232696533203125,0.0012246205646320000581805942374558071605861186981201171875,0.26432335144732999054895117296837270259857177734375,0.019729510427716999421132726411087787710130214691162109375
89,Westwood,4,3066,442.8799999999999954525264911353588104248046875,0.71913159393575598610226506934850476682186126708984375,0.07283079230234600076610007590716122649610042572021484375,0.053567229265772002555490161057605291716754436492919921875,0,0.0169310706985409988034607664530994952656328678131103515625,0.137539313797585993626171330106444656848907470703125,0
90,Windgap,4,1369,265.6000000000000227373675443232059478759765625,0.6275902076969399612238476038328371942043304443359375,0.0052497744395709998455057387900524190627038478851318359375,0.11594357415211199724414115053150453604757785797119140625,0,0.251216443711377024339270747077534906566143035888671875,0,0
